idade,dap
1,4.634114563199346
2,5.037272016715467
3,5.947542922005815
4,6.99490438195864
5,8.099448528403835
6,9.22718629457121
7,10.35782054461173
8,11.476922155981207
9,12.57332210263945
10,13.638031690149917
11,14.663710345380403
12,15.644360062028992
13,16.575124909786688
14,17.452144204182506
15,18.272435682848265
16,19.033797040166867
17,19.734719753644505
18,20.374311883563628
19,20.952227944275055
20,21.46860470279198
21,21.924002176502803
22,22.31934933517747
23,22.655894145109627
24,22.93515766931877
25,23.15889198162219
26,23.329041677898527
27,23.447708782972793
28,23.517120860915018
29,23.539602142890722
30,23.51754749163177
